N3,FIRES CELL,Fires,OP 3.1.2,10.0,Assign firepower resources to time-sensitive targets once targets identified.,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 15 C311,
N3,FIRES CELL,Fires,OP 3.1.9,,Plan and Coordinate subordinate operations to Conduct Dynamic Targeting,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 15.1 C311,
N3,FIRES CELL,Fires,OP 3.1.9,1.0,Review dynamic targets and recommend appropriate strike decision to include track quality requirements for engagements.,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 15.2 C311,
N3,FIRES CELL,Fires,OP 3.1.9,2.0,Provide strike decision criteria to appropriate decision maker per dynamic targeting attack matrix.,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 15.3 C311,
N3,FIRES CELL,Fires,OP 3.1.9,3.1,Direction creation of Fires Support Coordination Measures (FSCM) in support of dynamic targetting.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 15.4 C311,
N3,FIRES CELL,Fires,OP 3.1.9,3.2,Direct promulgation of Fires Support Coordination Measures (FSCM) in support of dynamic targetting.,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2  C311,
N3,FIRES CELL,Fires,OP 3.1.9,3.3,Direct the monitoring of Fires Support Coordination Measures (FSCM) usage.,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 4 C311,
N3,FIRES CELL,Fires,OP 3.1.9,4,Integrate targeting priorities into maritime ISR collection requirements for inclusion into the CMB process.,C323,Contractor Derrick Edwards,"Yes, not on Watch",3,WK,1,1,0,Collection operations ISO JFHQ priorities.,Collection operations ISO JFHQ priorities.,"Yes, not on Watch",Yes,3,WK,1,1,0,13.0,Collection operations ISO JFHQ priorities.,N3 FIRES CELL Fires OP 3.2.2 4.1 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.9,4.1,Review the targeting priorities,C323,Contractor Derrick Edwards,"Yes, not on Watch",1,WK,1,,30,Access Planning,Access Planning,"Yes, not on Watch",Yes,1,WK,1,,30,2.2,Access Planning,N3 FIRES CELL Fires OP 3.2.2 4.2 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.9,7,Anticipate collection assets required to support BDA.,C323,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 11 C311,
N3,FIRES CELL,Fires,OP 3.1.9,7.1,"Review the collection plan, CCIRs, PIRs",C323,Contractor Derrick Edwards,"Yes, not on Watch",3,WK,1,,30,Neccessary to priortize collection.,Neccessary to priortize collection.,"Yes, not on Watch",Yes,3,WK,1,,30,6.5,Neccessary to priortize collection.,N3 FIRES CELL Fires OP 3.2.2 11.1 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.9,7.2,"Meet with Targeting team and space cell to identify pre-strike collection needs and BDA collection needs, including timing of collection.",C323,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 11.2 C311,
N3,FIRES CELL,Fires,OP 3.1.9,7.3,Submit collection requirements via appropriate systems,C323,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 12 C311,
N3,FIRES CELL,Fires,OP 3.1.9,7.4,"Communicate updates to CM, Targeting,  Fires and space cells",C323,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 12.1 C311,
N3,FIRES CELL,Fires,OP 3.1.9,11.0,Coordinate to ensure TST engaged per commander's guidance and ROE.,C325,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 12.2 C311,
N3,FIRES CELL,Fires,OP 3.1.9,14.0,Track and assess detected targets engaged.,C325,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 12.3 C311,
N3,FIRES CELL,Fires,OP 3.1.9,16,Plan and coordinate firing unit potential launch positions that are mutually supported or deconflicted with other missions.,C322,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 12.4 C311,
N3,FIRES CELL,Fires,OP 3.1.9,17.0,"Review sensor requirements, capabilities, availability/tasking, processing, data/track exploitation, and data/track dissemination in support of providing prioritized target tracks.",C323,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.2 12.5 C311,
N3,FIRES CELL,Fires,OP 3.2.2,,Operationally Integrate strategic plans to Conduct Non-Lethal Attack,C311,Contractor Derrick Edwards,"Yes, not on Watch",5,WK,1,,30,"Promulgate CDRs priorities, requirements, and supporting orders/documents with HHQ and across staff to level set plans of action","Promulgate CDRs priorities, requirements, and supporting orders/documents with HHQ and across staff to level set plans of action","Yes, not on Watch",Yes,5,WK,1,,30,10.8,"Promulgate CDRs priorities, requirements, and supporting orders/documents with HHQ and across staff to level set plans of action",N3 FIRES CELL Fires OP 3.1.9  C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.2.2,3,JFE representative participates in assessment process.,C313,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.9 3 C311,
N3,FIRES CELL,Fires,OP 3.2.2,3.1,Conduct assessment of non-lethal attack,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.9 3.1 C311,
N3,FIRES CELL,Fires,OP 3.2.2,4,"Assets allocated and prioritized based upon guidance, planning and execution timelines, and effects required.",C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.9 3.2 C311,
N3,FIRES CELL,Fires,OP 3.2.2,4.1,Prioritze assets/capabilities for desired effect.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.9 3.3 C311,
N3,FIRES CELL,Fires,OP 3.2.2,4.2,Allocate prioritized assets/capabilities in accordance with plan.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5  C311,
N3,FIRES CELL,Fires,OP 3.2.2,11,Coordinate to ensure attacks on adversary information systems integrated into daily ATO and included in target lists.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 1 C311,
N3,FIRES CELL,Fires,OP 3.2.2,11.1,Directs planning for integration of assets/effects into attack plan.,,Contractor Derrick Edwards,"Yes, not on Watch",5,WK,1,,30,"Coordinate, resolve, and execute planning/development of actions across logistics and PPBE to support operational requirements near, mid, and long-term","Coordinate, resolve, and execute planning/development of actions across logistics and PPBE to support operational requirements near, mid, and long-term","Yes, not on Watch",Yes,5,WK,1,,30,10.8,"Coordinate, resolve, and execute planning/development of actions across logistics and PPBE to support operational requirements near, mid, and long-term",N3 FIRES CELL Fires OP 3.2.5 1.1 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.2.2,11.2,Directs promulgation of attack plans (e.g. ATO),,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 1.2 C311,
N3,FIRES CELL,Fires,OP 3.2.2,12.1,Develops method for fires synchronization with conventional strike activites.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 1.3 C311,
N3,FIRES CELL,Fires,OP 3.2.2,12.2,Confirms fires execution.,,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,5,Review/promulgate weekly CTO boards to support B2C2WGs,Review/promulgate weekly CTO boards to support B2C2WGs,"Yes, not on Watch",Yes,2,WK,1,,5,0.7,Review/promulgate weekly CTO boards to support B2C2WGs,N3 FIRES CELL Fires OP 3.2.5 3 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.2.2,12.3,Requests fires assessment data.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 3.1 C311,
N3,FIRES CELL,Fires,OP 3.2.2,12.4,Assess fires effectiveness.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 3.2 C311,
N3,FIRES CELL,Fires,OP 3.2.2,12.5,Determine re-attack requirements.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 4 C311,
N3,FIRES CELL,Fires,OP 3.2.2,13.0,Coordinate sensors tasking and processing in support of assessment of non-lethal attacks.,C323,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 4.1 C311,
N3,FIRES CELL,Fires,OP 3.2.5,,Plan and Coordinate subordinate operations to Interdict Targets,C325,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,5,Support coordination requirements with HHQ,Support coordination requirements with HHQ,"Yes, not on Watch",Yes,2,WK,1,,5,0.7,Support coordination requirements with HHQ,N3 FIRES CELL Fires OP 3.2.5 4.2 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.2.5,3,Coordinate Fires priorities with HHQs and supported commander(s).,C311,Contractor Derrick Edwards,"Yes, not on Watch",3,WK,1,,10,Provide update to HHQ B2C2WGs,Provide update to HHQ B2C2WGs,"Yes, not on Watch",Yes,3,WK,1,,10,2.2,Provide update to HHQ B2C2WGs,N3 FIRES CELL Fires OP 3.2.5 4.3 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.2.5,3.2,Directs the incorporation of approved joint fires priorities into operational guidance and apportionment.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 10 C311,
N3,FIRES CELL,Fires,OP 3.2.5,4,"Integrate Fires planners into collection process, non-kinetic asset coordination, planning, and operations.",C311,Contractor Derrick Edwards,"Yes, not on Watch",10,WK,1,,5,"Guidance, direction and cross-stafff communication at the O6-level to synchronize efforts","Guidance, direction and cross-stafff communication at the O6-level to synchronize efforts","Yes, not on Watch",Yes,10,WK,1,,5,,"Guidance, direction and cross-stafff communication at the O6-level to synchronize efforts",N3 FIRES CELL Fires OP 3.2.5 10.1 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.2.5,4.1,Directs fires planners to provide collection requirements.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 10.2 C311,
N3,FIRES CELL,Fires,OP 3.2.5,4.2,Directs fires planners to coordinate kinetic and non-kinetic fires into plans.,C311,Contractor Derrick Edwards,"Yes, not on Watch",5,WK,1,,5,Guidance and direction supporting operational requirements,Guidance and direction supporting operational requirements,"Yes, not on Watch",Yes,5,WK,1,,5,1.8,Guidance and direction supporting operational requirements,N3 FIRES CELL Fires OP 3.2.5 10.3 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.2.5,4.3,Directs fires planners to transition fires plans to watch-standers for execution.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 14 C311,
N3,FIRES CELL,Fires,OP 3.2.5,10,Coordinate to ensure collateral damage is within limits defined by Secretary of Defense and HHQ.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 14.1 C311,
N3,FIRES CELL,Fires,OP 3.2.5,10.1,Directs collateral damage limits training.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 14.2 C311,
N3,FIRES CELL,Fires,OP 3.2.5,10.2,Directs assessment of collateral damage projections.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5 14.3 C311,
N3,FIRES CELL,Fires,OP 3.2.5,10.3,Directs execution of operations within collateral damage limits.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1  C311,
N3,FIRES CELL,Fires,OP 3.2.5,14,Develop Component Critical Target Matrix. ,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 1 C311,
N3,FIRES CELL,Fires,OP 3.2.5,14.1,Directs performance of adversary critical target determination.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 1.1 C311,
N3,FIRES CELL,Fires,OP 3.2.5,14.2,Directs creation of critical targetting priorities.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 1.2 C311,
N3,FIRES CELL,Fires,OP 3.2.5,14.3,Directs inclusion of of crtical targets into Attack Guidance Matrix (ATGM). .,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 1.3 C311,
N3,FIRES CELL,Fires,OP 3.2.5.1,,Plan and Coordinate subordinate operations to Conduct Air Interdiction (AI),C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 2 C311,
N3,FIRES CELL,Fires,OP 3.2.5.1,14.0,Track and assess whether target attacks achieve desired effects.,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 2.1 C311,
N3,FIRES CELL,Fires,OP 3.2.6,,Plan and Coordinate subordinate operations to Provide Fires,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 2.2 C311,
N3,FIRES CELL,Fires,OP 3.2.6,15.0,Develop the Component Critical Target Matrix and nominate targets to HHQ Time-Sensitive Target List. ,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 2.3 C311,
N3,FIRES CELL,Fires,OP 3.2.6,16.0,Determine sensor support meets assigned tasking.,C323,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 3 C311,
N3,FIRES CELL,Fires,OP 3.2.7,,Synchronize Operational Fires,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 3.1 C311,
N3,FIRES CELL,Fires,OP 3.2.7,2.0,Determine desired effect on enemy COGs.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 3.2 C311,
N3,FIRES CELL,Fires,OP 3.2.7,4,Emplace measures to minimize incidence of fratricide or interference.,C322,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.1 3.3 C311,
N3,FIRES CELL,Fires,OP 3.2.7,4.1,Create Fire Support Coordination Measures (FSCM),C322,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3  C311,
N3,FIRES CELL,Fires,OP 3.2.7,6,Coordinate assets to be used for short notice retargeting (flexibility) in support of maneuver.,C322,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 1 C311,
N3,FIRES CELL,Fires,OP 3.2.7,6.1,Create plan for retargeting options,C322,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 1.1 C311,
N3,FIRES CELL,Fires,OP 3.2.7,9.0,Integrate attacks on high-payoff target(s) (HPTs) with other component fires assets.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 1.2 C311,
N3,FIRES CELL,Fires,OP 3.2.7,13.0,Develop the Component Critical Target Matrix and nominate targets to HHQ Time-Sensitive Target List. ,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 1.3 C311,
N3,FIRES CELL,C2,OP 5,,Provide Command and Control,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 2 C311,
N3,FIRES CELL,C2,OP 5.1,,Integrate Information,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 2.1 C311,
N3,FIRES CELL,C2,OP 5.2,,Conduct Operations Assessment,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 2.2 C311,
N3,FIRES CELL,C2,OP 5.3,,Prepare Plans and Orders,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 2.3 C311,
N3,FIRES CELL,C2,OP 5.3.1,,Conduct Mission Analysis,C312,Contractor Derrick Edwards,"Yes, not on Watch",10,WK,1,,30,"ISO staff estimates, requirements development, etc…","ISO staff estimates, requirements development, etc…","Yes, not on Watch",Yes,10,WK,1,,30,,"ISO staff estimates, requirements development, etc…",N3 FIRES CELL Fires OP 3.2.5.3 3 C311,JFHQ-C Navy Access
N3,FIRES CELL,C2,OP 5.3.1,17.0,Prepare initial staff estimates.,C312,Contractor Derrick Edwards,"Yes, not on Watch",5,WK,1,1,,"Develop, review, and provide input to Staff Estimates supporting operational requirements (i.e. POM, DOTML-PF, Training, OSD Cape, HHQ Re-shaping/Optimization OPTs/WGs/CFTs)","Develop, review, and provide input to Staff Estimates supporting operational requirements (i.e. POM, DOTML-PF, Training, OSD Cape, HHQ Re-shaping/Optimization OPTs/WGs/CFTs)","Yes, not on Watch",Yes,5,WK,1,1,,,"Develop, review, and provide input to Staff Estimates supporting operational requirements (i.e. POM, DOTML-PF, Training, OSD Cape, HHQ Re-shaping/Optimization OPTs/WGs/CFTs)",N3 FIRES CELL Fires OP 3.2.5.3 3.1 C311,JFHQ-C Navy Access
N3,FIRES CELL,C2,OP 5.3.4,,Develop Courses of Action and Prepare Staff Estimates,,Contractor Derrick Edwards,"Yes, not on Watch",5,WK,1,,30,,,,"Yes, not on Watch",Yes,5,WK,1,,30,,,N3 FIRES CELL Fires OP 3.2.5.3 3.2 C311,JFHQ-C Navy Access
N3,FIRES CELL,C2,OP 5.3.4,13.0,Update staff estimates from each staff functional area that provide logical and orderly examination of all factors that affect mission accomplishment.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.5.3 3.3 C311,
N3,FIRES CELL,C2,OP 5.4,,Command Subordinate Forces,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.2  C311,
N3,FIRES CELL,C2,OP 5.4.6,,Plan and Coordinate subordinate operations to Conduct Operational Rehearsals,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.2 1.0 C311,
N3,FIRES CELL,C2,OP 5.4.6,17.0,Review and resolve operational firepower issues.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.2 3 C311,
N3,FIRES CELL,Information,OP 5.6.1,,Integrate Operations in the Information Environment,C312,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.2 3.1 C311,
N3,FIRES CELL,Information,OP 5.6.1,7,Develop and coordinate affecting information targets through established targeting and fires processes to support scheme of maneuver (SoM) and scheme of fires (SoF).,C312,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.2 6.0 C311,
N3,FIRES CELL,Information,OP 5.6.1,7.1,Facilitate incorporation of information targets in the targeting and fires processes into SoF,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7  C311,
N3,FIRES CELL,Information,OP 5.6.1,7.2,Nominate information environment targets iso scheme of manuever and fires,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 1 C311,
N3,FIRES CELL,Information,OP 5.6.1,7.3,Write scheme of fires that includes approved information environment targets,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 1.1 C311,
N3,FIRES CELL,Information,OP 5.6.5,,Conduct Computer Network Operations,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 1.2 C311,
N3,FIRES CELL,Information,OP 5.6.5.3,,Conduct Defensive Cyberspace Operations (DCO),,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 2 C311,
N3,FIRES CELL,Information,OP 5.6.5.4,,Conduct Computer Network Exploitation (CNE) Enabling Operations,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 2.1 C311,
N3,FIRES CELL,Information,OP 5.6.6.1,,Employ Military Information Support Operations (MISO),C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 3 C311,
N3,FIRES CELL,Information,OP 5.6.6.1,4,Integrate MISO in targeting process.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 3.1 C311,
N3,FIRES CELL,Information,OP 5.6.6.1,4.1,Direct the creation of MISO options and priorities ,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 3.2 C311,
N3,FIRES CELL,Information,OP 5.6.6.1,4.2,Facilitate the approval of MISO via Fires processes,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 4 C311,
N3,FIRES CELL,Information,OP 5.7,,Integrate Multinational and Interagency Partnership,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 4.1 C311,
N3,FIRES CELL,Information,OP 6.8,,Detect Threat Networks,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 5 C311,
N3,FIRES CELL,Information,OP 6.8.1,,Attack Threat Networks,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.7 5.1 C311,
N3,FIRES CELL,Information,TA 5,,Exercise Command and Control,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.3  C311,
N3,FIRES CELL,Information,TA 5.1,,"Provide Command, Control, Communications, Computers, and Intelligence Systems (C4I)",,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.3 17.0 C311,
N3,FIRES CELL,Information,TA 5.5,,Conduct Cybersecurity,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.6  C311,
N3,FIRES CELL,Information,TA 5.6.5.3,,Execute Defensive Cyberspace Operations (DCO),,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.6 2.0 C311,
N3,FIRES CELL,Information,TA 6.6.5,,Execute Continuity of Operations (COOP) Plan,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.2.6 3 C311,
BELOW THE CUTLINE,,,,,,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.6 3.1 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,10.2,Coordinate with subordinate units to adjust maritime ISR operations,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.6 10.0 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,10.1,Identify maritime ISR collection operations of subordinate forces,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7  C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.1,2.0,"Develop objectives, guidance and intent for Maritime Dynamic Targeting.",C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 1.0 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.2,4.0,"Assign maritime firepower resources, once targets identified during planning phase.",C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 2.0 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.2,7.0,Coordinate attack of high pay-off target (HPTs) by maritime forces as immediate targets.,C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 3 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.5.3,,Plan and Coordinate subordinate Interdiction Operations (All Domain Prosecution),C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 3.1 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.5.3,15.0,Develop Component Critical Target Matrix. ,C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 3.2 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.7,3,"Ensure attacks comply with HHQ guidance, SROE, Collateral Damage mitigation and Law of Armed Conflict (LOAC).",C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 3.3 C311,Director of Fires
